[2025-03-16 11:36:40,579] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,580] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,582] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,583] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,584] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,585] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,586] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,587] [INFO] - ===csv details 3693686012===
[2025-03-16 11:36:40,588] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,590] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,591] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,592] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,593] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,594] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,595] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,598] [INFO] - ===csv details 3693676206===
[2025-03-16 11:36:40,600] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,601] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,602] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,603] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,604] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,608] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,609] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,610] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,611] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,612] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,613] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,616] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,617] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,619] [INFO] - ===csv details 3693583544===
[2025-03-16 11:36:40,620] [INFO] - ===csv details 3693379393===
[2025-03-16 11:36:40,621] [INFO] - ===csv details 3693267468===
[2025-03-16 11:36:40,623] [INFO] - ===csv details 3693267468===
[2025-03-16 11:36:40,624] [INFO] - ===csv details 3693267468===
[2025-03-16 11:36:40,625] [INFO] - ===csv details 3693267468===
[2025-03-16 11:36:40,626] [INFO] - ===csv details 3693176861===
[2025-03-16 11:36:40,628] [INFO] - ===csv details 3693176861===
[2025-03-16 11:36:40,629] [INFO] - ===csv details 3693157417===
[2025-03-16 11:36:40,630] [INFO] - ===csv details 3693157417===
[2025-03-16 11:36:40,631] [INFO] - ===csv details 3693157417===
[2025-03-16 11:36:40,633] [INFO] - ===csv details 3693157417===
[2025-03-16 11:36:40,633] [INFO] - ===csv details 3693157417===
[2025-03-16 11:36:40,636] [INFO] - ===csv details 3693146797===
[2025-03-16 11:36:40,638] [INFO] - ===csv details 3693057789===
[2025-03-16 11:36:40,639] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,641] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,642] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,643] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,644] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,646] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,649] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,650] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,653] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,654] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,655] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,657] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,658] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,659] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,660] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,661] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,664] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,665] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,666] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,667] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,669] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,670] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,671] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,673] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,673] [INFO] - ===csv details 3692809417===
[2025-03-16 11:36:40,675] [INFO] - ===csv details 3692513185===
[2025-03-16 11:36:40,676] [INFO] - ===csv details 3692513185===
[2025-03-16 11:36:40,678] [INFO] - ===csv details 3692513185===
[2025-03-16 11:36:40,679] [INFO] - ===csv details 3692483726===
[2025-03-16 11:36:40,680] [INFO] - ===csv details 3692483726===
[2025-03-16 11:36:40,681] [INFO] - ===csv details 3692483726===
[2025-03-16 11:36:40,682] [INFO] - ===csv details 3692483726===
[2025-03-16 11:36:40,683] [INFO] - ===csv details 3692473390===
[2025-03-16 11:36:40,684] [INFO] - ===csv details 3692473390===
[2025-03-16 11:36:40,685] [INFO] - ===csv details 3692473390===
[2025-03-16 11:36:40,686] [INFO] - ===csv details 3692473390===
[2025-03-16 11:36:40,688] [INFO] - ===csv details 3692454201===
[2025-03-16 11:36:40,689] [INFO] - ===csv details 3692423620===
[2025-03-16 11:36:40,690] [INFO] - ===csv details 3692423620===
[2025-03-16 11:36:40,692] [INFO] - ===csv details 3692314096===
[2025-03-16 11:36:40,693] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,694] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,695] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,696] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,697] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,698] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,699] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,701] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,702] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,703] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,704] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,705] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,706] [INFO] - ===csv details 3692256484===
[2025-03-16 11:36:40,707] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,708] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,712] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,713] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,714] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,715] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,717] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,719] [INFO] - ===csv details 3692152789===
[2025-03-16 11:36:40,720] [INFO] - ===csv details 3692061269===
